,node_id,community,Betweenness,Out-degree,In-degree,Clustering,Type
49616273,5876466,B,66475353196.51695,152160.0,79.0,9.751401403146039e-05,International expert
17469289,12611685,B,28598308391.763653,148069.0,26.0,0.00020746532569704254,International expert
20402945,5807991,B,54050000837.30781,145778.0,909.0,0.00029272548879119483,International expert
487118986,3538466,B,0.0,141075.0,3.0,9.442981900208884e-05,International expert
2313027666,2224232,B,113263281679.70824,135521.0,182.0,0.00031925160685932136,International expert
5402612,19955363,B,0.0,134146.0,0.0,9.342654597646565e-05,International expert
309705905,1255387,B,129686161284.73103,130210.0,2119.0,0.00047072729068969236,International expert
87775422,2644744,B,82479567944.68613,129213.0,77.0,6.24678257599532e-05,International expert
24291371,15296724,G,0.0,127006.0,0.0,0.00022520121812938333,International expert
23922797,4516130,B,22912959849.099262,125279.0,122.0,0.00019708305523940514,International expert
303862998,17198355,B,0.0,119798.0,3.0,0.00011553892298604976,International expert
1339488762,78805,B,40386258083.12856,119563.0,1244.0,0.0016005630127660792,International expert
14697575,10051842,G,25019512028.990482,102445.0,261.0,0.000208635705651955,International expert
5120691,10636520,B,63112933996.01002,101535.0,21.0,7.309924185834544e-05,International expert
60783724,10408470,B,49038684187.29818,98360.0,52.0,0.0001624867018761467,International expert
64643056,13611418,B,15896955318.841486,97657.0,170.0,0.00016566575865080633,International expert
50393960,9767062,B,70127096839.84586,96488.0,4.0,6.0966010368188376e-05,International expert
189868631,2385506,B,506835895173.49756,95629.0,208.0,0.00020378393771571066,International expert
17409452,12588988,G,11407687366.571836,94207.0,48.0,0.0002877229375014698,International expert
146569971,2363808,B,67576749317.286545,92930.0,61.0,0.0002614361495758861,International expert
5988062,2166416,B,32548826772.59311,89158.0,48.0,0.0001128129713856903,International expert
1561123663,11368558,G,0.0,86562.0,4.0,4.595852209650304e-05,International expert
16343974,465873,B,31853476854.65867,86233.0,338.0,0.00028497755920305653,International expert
1102347200166797312,4856907,B,16826285572.21418,85727.0,54.0,0.0006427471710790573,International expert
6134882,6846209,B,21650205207.63878,84575.0,180.0,0.00017000394028395126,International expert
108568373,4267650,G,18852685747.517387,82922.0,6.0,7.335287492520834e-05,International expert
20562637,690439,B,49151616621.26701,81643.0,738.0,0.00015601701338740717,International expert
139283160,195263,B,269230406922.8674,79524.0,2144.0,0.0033954293333709486,International expert
3005733012,17104583,B,0.0,79521.0,0.0,0.0006184802299771147,International expert
97054224,565919,B,33009191258.396046,78274.0,162.0,0.0004772717161503215,International expert
125346858,8627760,G,17475016368.89776,77299.0,25.0,0.0002535557540667181,International expert
844136511079559168,1734044,B,55021722488.603584,76994.0,918.0,0.0009689636218775287,International expert
37874853,14844945,B,10018587348.097864,76514.0,144.0,0.0002657408334733863,International expert
18798768,11468600,B,19855939993.409286,74942.0,9.0,0.000463953339549851,International expert
4898091,3211949,B,28375463166.883728,74058.0,93.0,0.00034465062402681194,International expert
131546062,763027,B,14242611445.592943,73682.0,43.0,0.0008794491240918434,International expert
2352629311,7570827,B,8277894227.101846,72970.0,14.0,0.0008544927974388872,International expert
51661036,1252100,B,50929376991.92717,72329.0,1466.0,0.0031471702486149306,International expert
69271273,9812097,G,11265367161.868649,70223.0,381.0,0.00022848061330774414,International expert
104296908,2488465,G,37162817988.84502,67586.0,101.0,0.00038057014074498386,International expert
49035671,4434962,B,6956422648.364701,64569.0,194.0,0.002560068030015141,International expert
38400130,15879323,B,13409691081.204945,63880.0,30.0,0.00033123861566728004,International expert
17839398,11485423,B,12759118286.419754,59199.0,28.0,0.0005432179609621468,International expert
2449502355,6956016,G,31049311920.355812,56602.0,20.0,0.00013505521494462108,International expert
1056922520199270401,3063731,G,15054427093.966385,56144.0,1.0,0.0006178781622960726,International expert
86626845,554437,B,39615336224.593704,56085.0,38.0,0.000846914320928136,International expert
1098236199058239488,4717532,B,4596873768.002959,54648.0,8.0,0.0007141702209876377,International expert
15808647,2288181,B,32185007985.665207,53643.0,107.0,0.0001790258647300788,International expert
863527548,5266398,B,37558708503.60476,52858.0,18.0,0.000361549879747041,International expert
22240612,14444446,B,0.0,51014.0,0.0,0.0003301782357073983,International expert
308269557,1621623,G,22915483137.986275,50968.0,75.0,0.00030916090208247193,International expert
3071162052,17267571,B,0.0,50851.0,0.0,0.0012097884919049621,International expert
19489239,891867,B,4573909798.941291,50377.0,136.0,0.0005701611038924805,International expert
1218324988966531072,83476,B,216910074114.72662,50291.0,4108.0,0.00497488664885998,International expert
15745368,11448491,B,0.0,49725.0,1.0,0.0004891950956117159,International expert
1954402777,8361047,G,13692639193.126207,49589.0,949.0,0.00076906408641416,International expert
816131319033950208,456928,B,3343450170.2758565,49318.0,24.0,0.001223299451332791,International expert
28838219,4587042,B,61227718058.405716,49188.0,117.0,0.0020643103791931306,International expert
1877831,1378476,B,14229108354.40979,48820.0,241.0,0.00047373404198281085,International expert
380285402,5305277,B,3174878929.4621787,48657.0,410.0,0.00035725029424119666,International expert
267695291,565855,B,270579937098.5683,48583.0,1384.0,0.0007475751599398657,International expert
2885563465,5391673,B,11987991919.15024,47948.0,100.0,0.0007246028262364312,International expert
1123488680,5532621,G,60329598432.74163,47702.0,9.0,2.1163697628769674e-05,International expert
356249623,2002620,B,24282367100.306664,47679.0,434.0,0.0018433743343735144,International expert
243983947,1041653,B,246672215148.29132,47435.0,706.0,0.0021191619650821366,International expert
1043793651988553728,2583098,B,0.0,46934.0,6.0,0.0004458449353029874,International expert
1731878023,12566111,G,0.0,46655.0,0.0,0.0009022484847267495,International expert
4437659232,1796946,B,32782298499.135525,46563.0,155.0,0.000799971488883272,International expert
70394965,8436280,G,13881230798.041992,46462.0,20.0,0.00048319746999840867,International expert
18424289,12979641,B,3239022693.6159987,46234.0,190.0,0.00026009835570493404,International expert
91478624,9259078,B,12291447331.130941,45597.0,28.0,7.306261165809791e-05,International expert
12,7026120,G,95286742042.57535,45338.0,23.0,7.572109939235215e-05,International expert
14159148,1333896,G,33494317748.849815,45234.0,80.0,0.0001746255538432194,International expert
1352962327,543728,B,355376467018.4582,44645.0,1010.0,0.0029478491589910883,International expert
91316071,15491173,G,0.0,44125.0,1381.0,0.0002850311307361035,International expert
153529375,2425856,G,22457584232.43671,43845.0,216.0,0.0005722193540400217,International expert
67358777,2629160,B,15086732744.59208,43289.0,68.0,0.0003471942696382982,International expert
201421060,251477,B,80713574203.85822,42893.0,426.0,0.0006054515851094729,International expert
611017994,18228633,G,3303758142.036123,42862.0,2.0,0.000815072095785582,International expert
240756474,682908,B,62310933824.05787,41891.0,333.0,0.0008739526460202335,International expert
2178012643,766047,B,83241970099.6111,41485.0,178.0,0.0008339652724952307,International expert
68577507,20543162,B,0.0,41424.0,2.0,0.00011891895352727236,International expert
1239332857807384576,8719577,G,0.0,41045.0,0.0,6.007096896385665e-05,International expert
126816712,2666640,B,11255198411.89288,40527.0,109.0,0.0021625201752858442,International expert
705694814612938752,2281756,G,21366652494.04843,39805.0,38.0,0.0005523798104792531,International expert
2882328382,1476727,G,23597789714.646484,39613.0,92.0,0.0008943022809041786,International expert
1435461,7954571,B,16968590759.506857,38508.0,52.0,0.0005043014091675699,International expert
3295423333,2423722,B,11497234504.430658,38506.0,204.0,0.0008741165028170589,International expert
3091150576,6911913,B,15268298248.788773,37888.0,253.0,0.00023164876963157607,International expert
264248576,8501972,G,16829784873.649456,37226.0,5.0,0.0001034578843717381,International expert
25928253,8966900,B,11688153219.762571,37169.0,4.0,5.2108901786588704e-05,International expert
3794682452,10195295,B,27802560977.0908,36998.0,138.0,0.00027219809106494787,International expert
14308180,1746514,B,8187122988.326503,36835.0,150.0,0.0025848037006929057,International expert
243318995,412201,B,51541063890.32383,36474.0,622.0,0.002955355737612622,International expert
2704294333,1665625,B,3474287859.9597616,36352.0,107.0,0.0018634329919414647,International expert
32792712,78935,B,41986571379.20527,36274.0,2982.0,0.010343307094398175,International expert
7424642,3169951,B,11344640785.335268,36267.0,88.0,0.0004365561689580923,International expert
34262462,18081764,B,0.0,36162.0,0.0,0.000475691185461651,International expert
410318537,8369800,B,2107850289.2720006,35994.0,15.0,0.0006582673646872034,International expert
3260518932,1513078,B,9027257315.403728,35718.0,58.0,0.0004672710294092037,International expert
33933259,663602,G,31271562429.85601,35352.0,75.0,0.00011312582454533889,International expert
1162673099864588290,406964,B,51138141572.22256,34554.0,850.0,0.003201320718795503,International expert
413428207,18861361,G,0.0,34372.0,2.0,0.00032471392095766106,International expert
2279301618,2889722,B,3779832850.534636,34342.0,18.0,0.0013613473225751094,International expert
70096587,2666844,B,22419059332.02049,34302.0,239.0,0.0014843936468049007,International expert
26574283,16082061,B,0.0,34234.0,0.0,0.0005478058181326526,International expert
16686144,544957,B,133940162221.81277,33668.0,493.0,0.0015296667776974156,International expert
1769551,3025870,B,8346074340.866498,31957.0,65.0,0.0007576672033002281,International expert
976995099170062338,2801309,B,12067646427.036766,31447.0,7.0,0.0007683480187530718,International expert
265902729,9608559,G,12347818896.216736,31260.0,24.0,0.00013701041315937796,International expert
25950355,9535927,B,10529910051.121634,31192.0,41.0,0.0003230369819511547,International expert
39975533,2231497,G,20210886820.616673,31030.0,58.0,0.0003041864006241227,International expert
35203319,158466,B,115171893746.89427,30969.0,2320.0,0.0007488749918441843,International expert
301309392,7186836,G,13468188377.581455,30685.0,109.0,0.00033200240239972554,International expert
1182511815231586304,7252453,B,12112272694.386969,30681.0,26.0,0.000526765161737015,International expert
632341632,20420522,B,0.0,30656.0,13.0,0.0005700278879285544,International expert
65905779,2456705,B,31595285266.10529,30565.0,83.0,0.0013493743439000534,International expert
85318467,2091596,G,7892434920.191889,30361.0,25.0,0.0005417373255585125,International expert
753940755576528896,343185,B,56130649016.15219,29879.0,354.0,0.0018645891546337724,International expert
365216346,5000326,B,7218361513.852131,29595.0,11.0,0.0018886197195506467,International expert
26809005,1355417,G,8145393684.16502,29490.0,31.0,8.198897925046717e-05,International expert
788363167,1865398,B,42744325782.43651,29465.0,149.0,0.0009026266070988058,International expert
189305014,13291565,B,0.0,29451.0,12.0,0.00028878949517332293,International expert
1226104732730765312,8421965,B,0.0,29343.0,0.0,0.00010244817865455269,International expert
14879097,2854163,G,19755211359.560623,29326.0,207.0,0.0009499247195789672,International expert
373978904,17416256,G,3183835579.4283204,29195.0,13.0,0.000801994281637593,International expert
597224882,3072051,G,21235626129.44583,29172.0,12.0,0.0003705257711067331,International expert
18856867,1457737,B,5336546951.750289,28887.0,27.0,0.0009339433370978079,International expert
2919448626,2930281,B,28645243600.33299,28862.0,14.0,8.808143020349464e-05,International expert
40839292,7212043,G,10246516783.458826,28793.0,9.0,0.0004559680029077914,International expert
3339352054,2632426,G,4569407431.842568,28531.0,4.0,0.0008137394917874468,International expert
498719623,11634395,G,2866023557.5447326,28465.0,25.0,0.0011714264210259528,International expert
19087092,1733797,B,2420554983.001296,28386.0,302.0,0.004266065129235513,International expert
25088746,799786,G,14345686047.461103,28304.0,899.0,0.0006333550403656895,International expert
4567685369,2471361,G,10901896977.554014,28283.0,68.0,0.0009417270660121182,International expert
2418180198,15256307,G,4864213452.893531,27931.0,2.0,0.0005566044811884937,International expert
14361155,4433171,G,23814878063.014156,27864.0,134.0,0.0002449296215555007,International expert
624413,1742135,B,4103460537.580287,27597.0,86.0,0.00028641279836096674,International expert
330262748,6984302,G,15450835897.739437,27432.0,3.0,9.109253982135775e-05,International expert
546657547,19992772,B,0.0,27264.0,2.0,0.00025458405134993535,International expert
348620338,365121,G,164066413328.3785,27227.0,252.0,0.0005749967267615033,International expert
16834659,11249950,B,1287245009.5636322,27183.0,2.0,0.001404989248913955,International expert
80571323,14831383,B,2014497095.0589228,27008.0,2.0,0.0010472647635748852,International expert
1081970130584768513,972363,B,17291067946.50665,26976.0,74.0,0.0003178148201549507,International expert
37397428,2456317,B,4327709498.830319,26953.0,65.0,0.001680789806518013,International expert
1214531076929908736,5324293,B,7471245805.617777,26829.0,28.0,0.00036195616149955714,International expert
844486678324658176,2983171,G,11712676382.797926,26800.0,75.0,0.0007778177097438761,International expert
1114034913228009472,348349,B,51584584264.089096,26790.0,41.0,0.0007248975760014777,International expert
126955629,9309735,G,10536975786.713926,26400.0,1.0,0.00047814678728407375,International expert
1148084022716747777,3709690,B,13489378328.191326,26161.0,193.0,0.0027898443408083656,International expert
714051110,16225442,B,8294803193.959441,25927.0,3.0,0.0001605631759102661,International expert
1005085697018138624,540657,B,64921655399.69602,25782.0,291.0,0.0012113328905746853,International expert
811229675758505984,21480449,G,0.0,25693.0,0.0,0.00042274039739302133,International expert
2716396878,901898,G,7022380463.651661,25667.0,201.0,0.004378402903811252,International expert
22138134,1083574,B,106623877745.54149,25624.0,600.0,0.00039669933493027045,International expert
1130959251671834624,5730565,B,7083271669.565835,25192.0,2.0,0.00016917319113015297,International expert
17919393,10828313,B,2693163322.631069,25054.0,4.0,0.0019023539960785882,International expert
1162111357,4305947,B,1002310654.6166457,25000.0,20.0,0.004134429876391179,International expert
27013292,2729046,B,25267103838.26205,24964.0,88.0,0.0004506315509242248,International expert
786764,6537438,B,32876387867.674175,24949.0,32.0,0.00010015219782349673,International expert
26792275,1865919,B,12025112968.595623,24929.0,86.0,0.0007875558733195079,International expert
47215171,7418981,G,22073672252.846664,24665.0,24.0,0.00024383446745322504,International expert
882215484497768448,6220642,B,7237449144.8873005,24559.0,12.0,0.0006438739953119297,International expert
74418756,5344459,B,2182820956.296133,24501.0,46.0,0.0032311975307703464,International expert
1138844783609286656,2584113,B,22998680061.25763,24433.0,201.0,0.0013752574638370915,International expert
69172612,6892348,B,8190576975.430724,23959.0,167.0,0.00034810830342601665,International expert
15392486,2421153,B,9107345822.321625,23839.0,68.0,0.0023549775477448207,International expert
275686563,2603469,B,8252599730.104913,23455.0,15.0,0.00013624643345696146,International expert
224896427,14572938,B,5544343768.330968,23305.0,43.0,0.0016516171475346461,International expert
1100403118485983232,2919905,B,38967682272.01328,23204.0,92.0,0.0001659964596204829,International expert
9624742,10773798,B,7342987704.185995,23201.0,123.0,0.0009007600147679688,International expert
252608121,469462,B,54512685056.08117,23057.0,96.0,0.00046480006418356777,International expert
16184358,9911310,B,3607287002.03983,23044.0,1.0,0.0004597983190766713,International expert
1205231350833438720,3989909,B,10008705411.024288,23033.0,4.0,0.00021208947781056989,International expert
25979455,3107950,G,4705560736.998114,22940.0,520.0,0.0008823991043927714,International expert
24506246,12643511,B,4057131372.553648,22910.0,97.0,0.0004674533460744854,International expert
36670025,13844583,G,11495063177.64138,22894.0,43.0,0.0003726977807384168,International expert
82578750,9832050,G,2911405187.179342,22793.0,9.0,0.0012119396885909813,International expert
19725644,13643043,B,0.0,22708.0,0.0,1.1192732425394855e-05,International expert
381289719,7363176,B,13700846445.667196,22438.0,34.0,0.00032978713064041483,International expert
1636590253,11980821,B,0.0,22276.0,0.0,3.0287210497324242e-05,International expert
1469603575,909369,B,17588959896.649666,21994.0,457.0,0.0015853366085014304,International expert
1206620573381603328,7964999,B,2232478003.389979,21992.0,480.0,0.0008157286749252247,International expert
2793242592,238948,B,69533013264.81088,21868.0,1122.0,0.0026602438589829218,International expert
19383099,1871732,B,43648585000.90658,21798.0,248.0,0.0020070753603694024,International expert
2936714848,16927295,G,6912056579.353882,21731.0,4.0,0.0005396178454433693,International expert
31064165,79692,B,4914728699.265522,21730.0,393.0,0.006003456699966108,International expert
717048221592227840,5415440,B,1600241113.3545022,21653.0,21.0,0.002078522190699851,International expert
104872280,2031380,G,9435444920.547798,21603.0,128.0,0.0008205476021490171,International expert
4690856839,8271296,G,392165036.2316922,21563.0,18.0,0.007054168426989181,International expert
9609632,5757145,B,6765865458.770173,21316.0,554.0,0.001038670735781756,International expert
4871317955,1312038,G,7682714756.593934,21305.0,66.0,0.0013671060716922813,International expert
25067168,15565569,B,6909227838.359545,21252.0,83.0,0.0002485886301983156,International expert
6017542,7356467,B,2355471065.7606306,21217.0,27.0,0.00042839310118532667,International expert
25049056,11620146,B,4931306203.454636,20940.0,262.0,0.0006034657525564638,International expert
40129171,18748973,B,0.0,20662.0,1.0,0.0007420892423867109,International expert
934399189,20941275,B,2722261077.959707,20650.0,5.0,0.0005294079128723045,International expert
75937326,553315,B,41046828363.314095,20609.0,166.0,0.0024765822418927295,International expert
105248665,2870097,G,38582907923.59991,20519.0,108.0,0.00022006987082818483,International expert
1107421968578433024,5034465,B,0.0,20483.0,2.0,0.0016434830511337444,International expert
41103933,8289574,G,17566250367.647667,20426.0,25.0,0.0011317098839275066,International expert
1214232500664295424,157605,B,32354519350.53869,20424.0,3975.0,0.011445007381509751,International expert
487833518,3727376,B,6791030493.302887,20330.0,12.0,0.00019941336478427463,International expert
18949452,13307240,B,0.0,20318.0,0.0,0.0004940020798336134,International expert
19402238,9844065,B,6522222806.023009,20091.0,22.0,0.00013634749622249814,International expert
15110357,1269113,B,9051712583.893997,19998.0,155.0,0.0004273072388599137,International expert
247653244,15464005,G,0.0,19976.0,0.0,3.283420185795739e-05,International expert
1615557272,2324089,B,92240771540.45427,19805.0,150.0,0.001267481058403546,International expert
17471979,12622127,B,11311599065.578066,19753.0,6.0,0.0001129991566286572,International expert
453124512,485940,B,23081830832.616867,19711.0,199.0,0.00190765286559989,International expert
1080960924687704064,1537668,B,1399335233.432472,19455.0,21.0,0.0015530698247272418,International expert
25985333,5790168,G,9946940558.480154,19301.0,144.0,0.000902106492077066,International expert
61875523,3471498,B,17511375603.666336,19230.0,103.0,0.0004880807649927924,International expert
1220350915481423873,944135,B,9501810281.202442,18983.0,51.0,0.0007591452492971795,International expert
178677263,261322,G,12810381492.805182,18960.0,172.0,0.0009060931737154232,International expert
654203,1524377,G,1970610540.2407322,18953.0,131.0,0.0013997740310684355,International expert
16712223,1463014,G,19694212973.784794,18910.0,234.0,0.0015335629143314556,International expert
2489830678,989521,G,29521360916.835125,18816.0,206.0,0.0016285491614558467,International expert
454904118,4288850,G,17196226205.32668,18814.0,503.0,0.0012375442574520323,International expert
1114065175504728064,1830704,G,21059387598.816635,18680.0,315.0,0.002497625705733293,International expert
934174143939055617,4474632,B,2812304165.7404194,18589.0,27.0,0.0027518321926419693,International expert
211948211,1255347,B,16912978069.676317,18549.0,224.0,0.000566533618969675,International expert
1169793310241755137,682449,B,3041867843.6292806,18547.0,2877.0,0.012465842359508936,International expert
1133305785910550528,5774347,B,1068531545.3043369,18469.0,16.0,0.0020477391469388563,International expert
73672445,1304594,G,6305024851.202353,18428.0,29.0,0.0010235142653360417,International expert
213559194,2157740,B,574275013.8509612,18342.0,32.0,0.006057215847710949,International expert
1040632227594268673,78643,B,24728784014.107674,18329.0,2575.0,0.01579028199361294,International expert
1615205449,6715829,G,3220745522.469416,18278.0,8.0,0.001264131651039858,International expert
183749519,5045411,B,25173182323.965214,18068.0,145.0,0.0005942351520701854,International expert
514423446,2138230,B,3910570144.651212,18020.0,24.0,0.0018628677939022766,International expert
177583133,12726041,G,7803459710.42831,17973.0,2.0,0.0003113769090356172,International expert
533085085,19903536,G,0.0,17914.0,0.0,2.6748601721048752e-05,International expert
167704836,1467251,G,13993163945.345718,17884.0,69.0,0.0004496678080796771,International expert
715851056148791296,1625321,G,14552256194.622742,17811.0,149.0,0.0022692539038710858,International expert
317291424,2666769,B,16075333211.098276,17407.0,343.0,0.0027589520536682646,International expert
2483954344,15490695,G,0.0,17166.0,3346.0,0.0005597531560935149,International expert
804605049859145728,6911974,B,0.0,17164.0,58.0,0.00030637400863637546,International expert
436429668,13396872,B,3775018132.412244,17152.0,3.0,0.0006757046956866501,International expert
20433284,13421676,G,2347842821.3737173,17104.0,6.0,0.000745033623010397,International expert
234128524,9866782,B,578624688.9941025,17032.0,5.0,0.0011956214978583166,International expert
933584411307724800,18812518,G,4346170829.897598,16998.0,3.0,0.0006794615839633435,International expert
941287588056518656,7088125,B,7629966536.72133,16953.0,11.0,0.00017062316987340168,International expert
732611818951151616,2792831,B,18651957123.525005,16943.0,250.0,0.0005356494771603809,International expert
276822292,2732460,B,4860091636.360256,16937.0,98.0,0.004229934485516234,International expert
1344951,9737206,B,7273655717.815377,16880.0,87.0,0.0002449048246336648,International expert
1653450212,1436328,B,36968158127.41053,16760.0,591.0,0.0005338539109167763,International expert
826853688052432896,1248163,G,6865071849.039528,16737.0,79.0,0.0012432446719858826,International expert
471436748,5838476,G,21592971446.318974,16726.0,11.0,4.18261254917835e-05,International expert
904517796,138979,G,95063771256.3733,16527.0,1675.0,0.0022068926414087284,International expert
155814794,11349719,B,10917593376.57715,16434.0,1.0,0.0004802750665133714,International expert
338736117,5337475,B,3508296404.718728,16169.0,6.0,0.0006020521424054313,International expert
487673211,551404,B,44597903399.078766,16032.0,160.0,0.002313546033845267,International expert
2601691201,4713845,B,12366131203.264812,15943.0,34.0,0.0003022892343684829,International expert
41786801,2458787,B,2884337297.4922976,15920.0,23.0,0.001268108796802597,International expert
2383882980,138393,B,40547752487.62284,15798.0,669.0,0.0022080411128817872,International expert
879161563,1469520,B,12711356699.42017,15700.0,218.0,0.0016729182288934138,International expert
145711769,2455480,B,20413612686.091118,15645.0,190.0,0.002076370257520597,International expert
856010760,4461688,B,2445674811.719478,15643.0,4.0,0.0012073644241497746,International expert
868112707,240549,B,4889151411.987469,15570.0,38.0,0.0003249478832417312,International expert
1231053438,8520218,B,0.0,15568.0,6.0,0.00112103207169353,International expert
326625501,2732504,B,4556865562.49522,15493.0,116.0,0.0036541999910246177,International expert
240605588,4525204,G,4618592155.626076,15478.0,117.0,0.0012805169496537157,International expert
382788364,434213,B,53072187006.344154,15403.0,596.0,0.005178035486735206,International expert
41085467,18844663,B,0.0,15294.0,1.0,0.0002312472620288143,International expert
1630896181,1737322,B,7021586333.85449,15283.0,249.0,0.0004587469010896909,International expert
1168793817148821504,3208791,B,11481371846.088572,15266.0,204.0,0.0037695209623866137,International expert
259725229,2600671,G,19327757458.296597,15102.0,257.0,0.0002973531273995623,International expert
573918122,5590736,B,3422319537.6037955,15057.0,68.0,0.0015276679580052345,International expert
18091004,12849149,G,4801278265.092526,15020.0,1.0,7.45301850640153e-05,International expert
137223549,2455438,B,21561820303.332336,15018.0,69.0,0.0005517326712676112,International expert
16016427,5394076,B,7175225759.009204,14896.0,71.0,0.0013457372626212106,International expert
740680459,717614,G,63197484201.23229,14843.0,441.0,0.00028106748212324386,International expert
19546277,1537680,B,5301932796.483689,14796.0,433.0,0.0005072703754100761,International expert
146958450,10793820,B,6415783119.834966,14767.0,11.0,0.0001565222039910448,International expert
69620713,1265145,B,4213970854.3029222,14729.0,428.0,0.0009411449696776103,International expert
713993413,4282022,G,3442534745.835194,14712.0,14.0,0.00018576379696689534,International expert
109220563,1737559,G,8797959579.255808,14694.0,104.0,0.0011689840141764173,International expert
76347918,8186959,B,12679936747.643522,14600.0,161.0,0.00244002658483879,International expert
1994321,12096074,B,3260982573.3757334,14571.0,408.0,0.0002496284847671126,International expert
3460039877,3096239,G,6494988748.743086,14562.0,61.0,0.0013798071140191423,International expert
3069292650,2157768,B,598650491.61443,14502.0,14.0,0.004488401486678708,International expert
1081972159860359170,3999157,B,5250398393.826663,14411.0,14.0,0.0003618664426199847,International expert
913431260554567680,863073,G,27267595844.180992,14373.0,179.0,0.0006553460072961953,International expert
14236470,3224173,B,8459788515.310202,14202.0,28.0,0.00016297709590258594,International expert
1255017561135202306,9142026,G,0.0,14091.0,0.0,1.235802368631505e-06,International expert
2257546388,1891188,G,10754763540.081123,13989.0,146.0,0.0014332512531234614,International expert
212112724,3785133,B,1205497760.64803,13862.0,13.0,0.0029973452378385577,International expert
3663485235,18370778,B,28801114121.322834,13741.0,4.0,5.1525500262838604e-06,International expert
93071370,254037,B,7784755884.651104,13725.0,213.0,0.004850826913721016,International expert
14700316,1436018,B,16174588254.253265,13677.0,643.0,0.000879764263884361,International expert
394797065,944931,B,18370323487.262516,13648.0,192.0,0.00123577120428102,International expert
276452562,16381067,B,3442720523.132732,13619.0,91.0,0.0003353098292364861,International expert
2532127677,15747820,B,0.0,13585.0,0.0,0.0006060681121768766,International expert
569053466,19811814,G,2807937770.7180357,13573.0,6.0,0.00040199664762148693,International expert
544389588,6119186,G,23920137270.155197,13553.0,49.0,0.0006368277050312832,International expert
401579858,2189218,G,5759637542.818158,13545.0,59.0,0.0015312559549559345,International expert
23584333,238633,G,17357947815.98292,13494.0,370.0,0.006324029759494955,International expert
22267198,5834757,B,2816374626.713572,13469.0,42.0,0.0026433166349188676,International expert
18213483,4935691,B,8123170893.764695,13461.0,14.0,0.00033180721232298676,International expert
2430359540,15304125,G,0.0,13440.0,0.0,0.00012368201509462478,International expert
14345812,2769097,B,15176113797.482388,13396.0,151.0,0.002966662373977568,International expert
115628224,2422798,G,8248826396.567313,13295.0,126.0,0.0015201749611509338,International expert
69181624,1672802,B,17066522770.381472,13277.0,14.0,0.0003747926762082876,International expert
108665128,4305790,B,712880737.159217,13239.0,201.0,0.005473303389230936,International expert
4300743322,2385988,G,5756624952.793282,13198.0,29.0,5.0132666732846715e-05,International expert
97650875,5000336,B,34328687239.61772,13097.0,337.0,0.003612120543137432,International expert
57320024,8139968,G,2763759194.33225,13092.0,5.0,0.0003761620818152528,International expert
3290364847,1565701,B,1203860829.9418597,13077.0,391.0,0.0024375482252914607,International expert
15862891,11574183,B,5982444808.20756,13057.0,5.0,0.00026873378994625083,International expert
45586617,551020,B,50219838864.92234,13048.0,246.0,0.0034631450304155585,International expert
957547182,7265734,G,4118807572.3208976,13007.0,6.0,0.0009452455594873923,International expert
229966028,2221131,B,1703458791.346711,12991.0,5.0,0.0015800320455921378,International expert
38576013,14786718,B,2296206085.4705653,12985.0,10.0,0.0004688487608758083,International expert
820152668626657280,2456909,B,25459022287.458633,12960.0,105.0,0.0007331694002701876,International expert
23377569,238618,G,12511426630.586006,12946.0,306.0,0.0035508860497361332,International expert
17137628,1025474,G,7185896027.736219,12937.0,60.0,0.0005080146511926323,International expert
1216650827689009152,8205381,B,0.0,12936.0,32.0,0.00023029736195521585,International expert
56891751,16589025,G,4940797139.027228,12927.0,6.0,0.0006792781152489266,International expert
191478785,6856104,G,6810899903.260603,12908.0,20.0,0.0002786713340060262,International expert
266867464,990991,G,40523105932.85905,12881.0,848.0,0.00628649119718469,International expert
1102366739394813952,2715137,B,5727300138.893546,12856.0,12.0,0.00046384523744289456,International expert
21114659,1612842,B,14275555618.51508,12841.0,40.0,0.0007422023912693665,International expert
36442519,558635,B,6929479370.985835,12791.0,103.0,0.002965589535938253,International expert
2173779986,2446922,B,5201031150.980855,12760.0,161.0,0.0019993499163408904,International expert
1080477288955826176,3923650,B,235311628.52894703,12742.0,6.0,0.0013386613915669413,International expert
732787392722182144,2268529,B,70722869909.75575,12741.0,1652.0,0.009994352249839435,International expert
1135341205,5834531,B,1871785340.1700764,12699.0,34.0,0.006430131068790023,International expert
335455570,9350494,B,1244867842.4894612,12693.0,77.0,0.0009007475083056478,International expert
59393368,1565952,B,5041827586.282895,12676.0,743.0,0.007796263724293481,International expert
21581503,14158364,B,0.0,12643.0,0.0,0.00033442579585005194,International expert
811618285129232388,10121755,G,5858012774.925081,12520.0,6.0,0.00021312528274998726,International expert
140784400,7098668,B,5094351459.562179,12450.0,38.0,0.0009668746445170386,International expert
632923508,5151430,G,2453172434.234715,12444.0,33.0,0.0009417330304692413,International expert
19527964,1309966,B,1100850862.8839602,12392.0,40.0,0.0013227062886264445,International expert
22604940,6785518,B,9305437053.688192,12262.0,36.0,0.0025671614420914005,International expert
22434517,3736502,B,2166252320.017107,12141.0,32.0,0.0012294167482943279,International expert
1163085970901630977,2275139,B,2212789779.0480638,12038.0,144.0,0.007787330481976657,International expert
374527877,1259955,G,12691006819.736727,11970.0,105.0,0.0007928655765402254,International expert
780126064869650432,1871468,G,10588856700.730791,11964.0,28.0,0.00012378547967821076,International expert
